method,number_feature,in_safari,accuracy,auc,f1,mcc
ll_l21,220,13,0.672,0.645,0.749,0.331
ll_l21,230,14,0.683,0.657,0.755,0.354
ll_l21,240,14,0.688,0.667,0.752,0.361
ll_l21,250,15,0.667,0.643,0.739,0.315
ll_l21,260,15,0.683,0.662,0.747,0.349
ll_l21,270,15,0.688,0.666,0.754,0.362
ll_l21,280,15,0.699,0.679,0.759,0.384
ll_l21,290,15,0.672,0.646,0.747,0.329
ll_l21,300,16,0.677,0.652,0.75,0.341
ll_l21,310,16,0.699,0.678,0.761,0.385
ll_l21,320,18,0.699,0.678,0.761,0.385
ll_l21,330,18,0.704,0.684,0.764,0.396
ll_l21,340,18,0.699,0.678,0.761,0.385
ll_l21,350,18,0.704,0.683,0.766,0.398
ll_l21,360,18,0.699,0.679,0.759,0.384
ll_l21,370,18,0.683,0.662,0.747,0.349
ll_l21,380,19,0.694,0.672,0.757,0.374
ll_l21,390,19,0.683,0.66,0.751,0.351
ll_l21,400,19,0.677,0.652,0.75,0.341
ll_l21,410,20,0.677,0.652,0.75,0.341
ll_l21,420,20,0.661,0.633,0.743,0.308
ll_l21,430,20,0.672,0.645,0.749,0.331
ll_l21,440,20,0.672,0.645,0.749,0.331
ll_l21,450,20,0.667,0.64,0.744,0.318
ll_l21,460,20,0.672,0.646,0.747,0.329
ll_l21,470,21,0.699,0.677,0.763,0.386
ll_l21,480,21,0.699,0.677,0.763,0.386
ll_l21,490,21,0.694,0.67,0.759,0.375
ll_l21,500,21,0.694,0.67,0.759,0.375
DO_20,10,0,0.559,0.5,0.717,0.0
DO_20,20,1,0.634,0.597,0.736,0.255
DO_20,30,1,0.591,0.565,0.683,0.145
DO_20,40,1,0.581,0.559,0.664,0.127
DO_20,50,1,0.522,0.491,0.637,-0.021
DO_20,60,1,0.602,0.571,0.702,0.168
DO_20,70,1,0.608,0.577,0.704,0.181
DO_20,80,1,0.565,0.531,0.677,0.075
DO_20,90,1,0.581,0.549,0.685,0.116
DO_20,100,3,0.57,0.542,0.669,0.095
DO_20,110,4,0.581,0.551,0.68,0.118
DO_20,120,5,0.565,0.537,0.664,0.084
DO_20,130,5,0.608,0.582,0.695,0.182
DO_20,140,5,0.575,0.549,0.669,0.11
DO_20,150,5,0.57,0.543,0.667,0.097
DO_20,160,7,0.581,0.555,0.672,0.122
DO_20,170,8,0.559,0.536,0.65,0.078
DO_20,180,9,0.559,0.536,0.65,0.078
DO_20,190,9,0.613,0.587,0.7,0.194
DO_20,200,9,0.618,0.593,0.703,0.207
DO_20,210,9,0.629,0.601,0.716,0.231
DO_20,220,9,0.586,0.559,0.68,0.133
DO_20,230,9,0.597,0.57,0.689,0.157
DO_20,240,10,0.586,0.556,0.686,0.131
DO_20,250,10,0.618,0.585,0.717,0.208
DO_20,260,10,0.624,0.593,0.718,0.22
DO_20,270,10,0.629,0.601,0.716,0.231
DO_20,280,11,0.629,0.601,0.716,0.231
DO_20,290,11,0.629,0.601,0.716,0.231
DO_20,300,11,0.624,0.596,0.711,0.219
DO_20,310,11,0.645,0.618,0.727,0.268
DO_20,320,11,0.64,0.613,0.722,0.256
DO_20,330,11,0.602,0.576,0.692,0.17
DO_20,340,11,0.645,0.622,0.72,0.267
DO_20,350,11,0.634,0.61,0.714,0.243
DO_20,360,12,0.629,0.605,0.709,0.231
DO_20,370,13,0.634,0.612,0.709,0.243
DO_20,380,13,0.634,0.612,0.709,0.243
DO_20,390,13,0.624,0.599,0.706,0.219
DO_20,400,15,0.634,0.611,0.712,0.243
DO_20,410,15,0.64,0.615,0.72,0.255
DO_20,420,15,0.656,0.632,0.731,0.291
DO_20,430,15,0.651,0.624,0.73,0.28
DO_20,440,15,0.672,0.646,0.747,0.329
DO_20,450,15,0.677,0.653,0.748,0.34
DO_20,460,18,0.683,0.658,0.753,0.352
DO_20,470,18,0.667,0.645,0.735,0.314
DO_20,480,18,0.661,0.639,0.732,0.303
DO_20,490,19,0.661,0.639,0.732,0.303
DO_20,500,19,0.651,0.627,0.726,0.279
HPO_35,10,0,0.548,0.507,0.679,0.02
HPO_35,20,1,0.511,0.486,0.613,-0.03
HPO_35,30,1,0.548,0.524,0.644,0.052
HPO_35,40,1,0.57,0.543,0.667,0.097
HPO_35,50,1,0.543,0.513,0.653,0.029
HPO_35,60,1,0.543,0.51,0.659,0.024
HPO_35,70,1,0.57,0.535,0.683,0.087
HPO_35,80,2,0.597,0.567,0.694,0.156
HPO_35,90,3,0.591,0.562,0.689,0.144
HPO_35,100,3,0.602,0.575,0.694,0.169
HPO_35,110,3,0.613,0.587,0.7,0.194
HPO_35,120,3,0.591,0.564,0.686,0.144
HPO_35,130,4,0.581,0.555,0.672,0.122
HPO_35,140,5,0.581,0.555,0.672,0.122
HPO_35,150,6,0.565,0.538,0.661,0.085
HPO_35,160,6,0.559,0.534,0.655,0.074
HPO_35,170,8,0.581,0.555,0.672,0.122
HPO_35,180,9,0.554,0.53,0.647,0.065
HPO_35,190,9,0.64,0.616,0.717,0.255
HPO_35,200,9,0.64,0.616,0.717,0.255
HPO_35,210,9,0.645,0.621,0.723,0.267
HPO_35,220,9,0.618,0.594,0.7,0.207
HPO_35,230,9,0.591,0.565,0.683,0.145
HPO_35,240,9,0.548,0.521,0.65,0.048
HPO_35,250,9,0.57,0.542,0.669,0.095
HPO_35,260,10,0.548,0.521,0.65,0.048
HPO_35,270,10,0.597,0.571,0.686,0.158
HPO_35,280,11,0.602,0.577,0.689,0.171
HPO_35,290,11,0.597,0.571,0.686,0.158
HPO_35,300,11,0.618,0.59,0.708,0.206
HPO_35,310,11,0.613,0.585,0.702,0.194
HPO_35,320,11,0.613,0.588,0.697,0.195
HPO_35,330,12,0.602,0.576,0.692,0.17
HPO_35,340,12,0.629,0.606,0.706,0.231
HPO_35,350,13,0.613,0.588,0.697,0.195
HPO_35,360,13,0.602,0.577,0.689,0.171
HPO_35,370,13,0.645,0.619,0.725,0.268
HPO_35,380,13,0.661,0.635,0.739,0.305
HPO_35,390,14,0.651,0.624,0.73,0.28
HPO_35,400,15,0.618,0.594,0.7,0.207
HPO_35,410,15,0.629,0.608,0.704,0.232
HPO_35,420,15,0.634,0.612,0.709,0.243
HPO_35,430,15,0.645,0.622,0.72,0.267
HPO_35,440,15,0.64,0.616,0.717,0.255
HPO_35,450,15,0.634,0.618,0.699,0.246
HPO_35,460,16,0.597,0.576,0.675,0.163
HPO_35,470,17,0.656,0.632,0.731,0.291
HPO_35,480,18,0.651,0.626,0.728,0.28
HPO_35,490,19,0.624,0.6,0.703,0.219
HPO_35,500,20,0.634,0.611,0.712,0.243
GOmf_60,10,0,0.478,0.467,0.549,-0.068
GOmf_60,20,0,0.559,0.541,0.637,0.086
GOmf_60,30,1,0.581,0.563,0.655,0.132
GOmf_60,40,1,0.522,0.504,0.604,0.008
GOmf_60,50,1,0.543,0.52,0.635,0.044
GOmf_60,60,1,0.559,0.543,0.634,0.088
GOmf_60,70,1,0.581,0.563,0.655,0.132
GOmf_60,80,1,0.565,0.533,0.672,0.078
GOmf_60,90,2,0.548,0.516,0.661,0.038
GOmf_60,100,2,0.559,0.525,0.675,0.06
GOmf_60,110,3,0.565,0.534,0.669,0.08
GOmf_60,120,3,0.543,0.519,0.638,0.042
GOmf_60,130,4,0.543,0.517,0.644,0.037
GOmf_60,140,4,0.565,0.538,0.661,0.085
GOmf_60,150,4,0.565,0.538,0.661,0.085
GOmf_60,160,4,0.543,0.515,0.647,0.034
GOmf_60,170,5,0.575,0.554,0.658,0.116
GOmf_60,180,5,0.554,0.533,0.641,0.07
GOmf_60,190,6,0.548,0.525,0.641,0.055
GOmf_60,200,7,0.554,0.531,0.644,0.067
GOmf_60,210,8,0.634,0.609,0.717,0.243
GOmf_60,220,8,0.656,0.632,0.731,0.291
GOmf_60,230,8,0.645,0.621,0.723,0.267
GOmf_60,240,9,0.651,0.627,0.726,0.279
GOmf_60,250,9,0.661,0.638,0.734,0.303
GOmf_60,260,9,0.667,0.643,0.739,0.315
GOmf_60,270,9,0.645,0.622,0.72,0.267
GOmf_60,280,9,0.64,0.616,0.717,0.255
GOmf_60,290,9,0.538,0.512,0.639,0.026
GOmf_60,300,10,0.613,0.588,0.697,0.195
GOmf_60,310,10,0.532,0.508,0.63,0.018
GOmf_60,320,10,0.624,0.599,0.706,0.219
GOmf_60,330,10,0.634,0.61,0.714,0.243
GOmf_60,340,10,0.629,0.604,0.711,0.231
GOmf_60,350,10,0.613,0.585,0.702,0.194
GOmf_60,360,10,0.624,0.598,0.708,0.219
GOmf_60,370,11,0.634,0.609,0.717,0.243
GOmf_60,380,11,0.651,0.626,0.728,0.28
GOmf_60,390,12,0.645,0.619,0.725,0.268
GOmf_60,400,13,0.634,0.611,0.712,0.243
GOmf_60,410,14,0.624,0.6,0.703,0.219
GOmf_60,420,14,0.629,0.606,0.706,0.231
GOmf_60,430,15,0.629,0.605,0.709,0.231
GOmf_60,440,15,0.629,0.605,0.709,0.231
GOmf_60,450,15,0.613,0.589,0.695,0.195
GOmf_60,460,15,0.634,0.611,0.712,0.243
GOmf_60,470,16,0.64,0.616,0.717,0.255
GOmf_60,480,16,0.645,0.622,0.72,0.267
GOmf_60,490,17,0.651,0.628,0.723,0.279
GOmf_60,500,17,0.651,0.628,0.723,0.279
co_expression_95,10,0,0.489,0.465,0.596,-0.077
co_expression_95,20,0,0.575,0.549,0.669,0.11
co_expression_95,30,1,0.538,0.519,0.619,0.041
co_expression_95,40,1,0.505,0.48,0.61,-0.043
co_expression_95,50,2,0.57,0.544,0.664,0.098
co_expression_95,60,2,0.575,0.543,0.683,0.103
co_expression_95,70,2,0.602,0.572,0.699,0.168
co_expression_95,80,3,0.602,0.582,0.678,0.175
co_expression_95,90,3,0.624,0.603,0.698,0.22
co_expression_95,100,4,0.618,0.601,0.687,0.211
co_expression_95,110,4,0.597,0.578,0.672,0.164
co_expression_95,120,4,0.618,0.595,0.698,0.208
co_expression_95,130,5,0.613,0.589,0.695,0.195
co_expression_95,140,6,0.624,0.6,0.703,0.219
co_expression_95,150,6,0.629,0.608,0.704,0.232
co_expression_95,160,7,0.618,0.597,0.695,0.208
co_expression_95,170,9,0.624,0.602,0.701,0.22
co_expression_95,180,10,0.608,0.587,0.684,0.186
co_expression_95,190,11,0.629,0.609,0.701,0.232
co_expression_95,200,11,0.629,0.609,0.701,0.232
co_expression_95,210,11,0.629,0.61,0.699,0.233
co_expression_95,220,11,0.624,0.605,0.693,0.222
co_expression_95,230,11,0.634,0.618,0.699,0.246
co_expression_95,240,11,0.629,0.612,0.696,0.234
co_expression_95,250,12,0.618,0.599,0.69,0.21
co_expression_95,260,14,0.629,0.609,0.701,0.232
co_expression_95,270,14,0.618,0.597,0.695,0.208
co_expression_95,280,15,0.618,0.597,0.695,0.208
co_expression_95,290,16,0.613,0.592,0.69,0.197
co_expression_95,300,18,0.661,0.642,0.727,0.302
co_expression_95,310,18,0.634,0.614,0.707,0.244
co_expression_95,320,19,0.651,0.631,0.719,0.279
co_expression_95,330,19,0.645,0.626,0.713,0.268
co_expression_95,340,19,0.634,0.614,0.707,0.244
co_expression_95,350,19,0.645,0.625,0.716,0.267
co_expression_95,360,19,0.613,0.598,0.676,0.203
co_expression_95,370,20,0.634,0.619,0.696,0.247
co_expression_95,380,20,0.618,0.601,0.687,0.211
co_expression_95,390,20,0.613,0.596,0.681,0.2
co_expression_95,400,20,0.624,0.607,0.69,0.223
co_expression_95,410,20,0.618,0.602,0.684,0.212
co_expression_95,420,22,0.608,0.592,0.673,0.191
co_expression_95,430,22,0.613,0.598,0.676,0.203
co_expression_95,440,24,0.613,0.598,0.676,0.203
co_expression_95,450,24,0.608,0.591,0.676,0.19
co_expression_95,460,25,0.602,0.587,0.667,0.18
co_expression_95,470,26,0.613,0.6,0.673,0.204
co_expression_95,480,27,0.613,0.598,0.676,0.203
co_expression_95,490,28,0.613,0.6,0.673,0.204
co_expression_95,500,29,0.613,0.6,0.673,0.204
GOmf_55,10,0,0.473,0.459,0.55,-0.083
GOmf_55,20,0,0.581,0.562,0.658,0.13
GOmf_55,30,1,0.64,0.619,0.712,0.255
GOmf_55,40,1,0.543,0.52,0.635,0.044
GOmf_55,50,1,0.559,0.539,0.643,0.082
GOmf_55,60,1,0.559,0.527,0.669,0.064
GOmf_55,70,1,0.57,0.55,0.652,0.105
GOmf_55,80,1,0.527,0.493,0.648,-0.017
GOmf_55,90,2,0.532,0.5,0.648,0.001
GOmf_55,100,2,0.559,0.528,0.667,0.066
GOmf_55,110,3,0.559,0.53,0.664,0.068
GOmf_55,120,4,0.608,0.579,0.7,0.181
GOmf_55,130,4,0.559,0.534,0.655,0.074
GOmf_55,140,4,0.57,0.544,0.664,0.098
GOmf_55,150,4,0.559,0.532,0.658,0.072
GOmf_55,160,5,0.565,0.542,0.652,0.091
GOmf_55,170,5,0.554,0.529,0.65,0.063
GOmf_55,180,6,0.57,0.544,0.664,0.098
GOmf_55,190,7,0.575,0.549,0.669,0.11
GOmf_55,200,8,0.565,0.541,0.655,0.089
GOmf_55,210,8,0.651,0.624,0.73,0.28
GOmf_55,220,9,0.64,0.611,0.727,0.257
GOmf_55,230,9,0.645,0.619,0.725,0.268
GOmf_55,240,9,0.656,0.63,0.733,0.292
GOmf_55,250,9,0.645,0.618,0.727,0.268
GOmf_55,260,9,0.656,0.632,0.731,0.291
GOmf_55,270,9,0.645,0.622,0.72,0.267
GOmf_55,280,9,0.634,0.61,0.714,0.243
GOmf_55,290,10,0.624,0.599,0.706,0.219
GOmf_55,300,10,0.618,0.593,0.703,0.207
GOmf_55,310,10,0.634,0.609,0.717,0.243
GOmf_55,320,10,0.608,0.582,0.695,0.182
GOmf_55,330,10,0.618,0.593,0.703,0.207
GOmf_55,340,10,0.629,0.604,0.711,0.231
GOmf_55,350,10,0.618,0.592,0.705,0.206
GOmf_55,360,10,0.624,0.599,0.706,0.219
GOmf_55,370,11,0.645,0.621,0.723,0.267
GOmf_55,380,11,0.64,0.615,0.72,0.255
GOmf_55,390,11,0.64,0.615,0.72,0.255
GOmf_55,400,14,0.64,0.616,0.717,0.255
GOmf_55,410,15,0.64,0.617,0.715,0.255
GOmf_55,420,15,0.64,0.619,0.712,0.255
GOmf_55,430,15,0.634,0.612,0.709,0.243
GOmf_55,440,15,0.634,0.61,0.714,0.243
GOmf_55,450,15,0.624,0.602,0.701,0.22
GOmf_55,460,16,0.661,0.638,0.734,0.303
GOmf_55,470,16,0.651,0.628,0.723,0.279
GOmf_55,480,16,0.656,0.632,0.731,0.291
GOmf_55,490,17,0.645,0.621,0.723,0.267
GOmf_55,500,17,0.634,0.61,0.714,0.243
GOcc_0,10,0,0.548,0.507,0.679,0.02
GOcc_0,20,1,0.527,0.509,0.611,0.018
GOcc_0,30,1,0.554,0.525,0.658,0.057
GOcc_0,40,1,0.575,0.545,0.678,0.105
GOcc_0,50,1,0.527,0.496,0.642,-0.01
GOcc_0,60,1,0.543,0.509,0.661,0.021
GOcc_0,70,1,0.559,0.525,0.675,0.06
GOcc_0,80,2,0.597,0.567,0.694,0.156
GOcc_0,90,3,0.591,0.562,0.689,0.144
GOcc_0,100,4,0.597,0.568,0.691,0.156
GOcc_0,110,4,0.597,0.57,0.689,0.157
GOcc_0,120,4,0.602,0.576,0.692,0.17
GOcc_0,130,5,0.565,0.538,0.661,0.085
GOcc_0,140,5,0.586,0.561,0.675,0.135
GOcc_0,150,6,0.575,0.551,0.667,0.111
GOcc_0,160,7,0.581,0.555,0.672,0.122
GOcc_0,170,7,0.575,0.551,0.667,0.111
GOcc_0,180,9,0.554,0.53,0.647,0.065
GOcc_0,190,9,0.667,0.641,0.742,0.316
GOcc_0,200,9,0.656,0.634,0.726,0.291
GOcc_0,210,9,0.661,0.636,0.736,0.304
GOcc_0,220,9,0.613,0.587,0.7,0.194
GOcc_0,230,9,0.608,0.583,0.692,0.183
GOcc_0,240,9,0.559,0.531,0.661,0.07
GOcc_0,250,9,0.575,0.548,0.672,0.108
GOcc_0,260,10,0.548,0.521,0.65,0.048
GOcc_0,270,10,0.618,0.59,0.708,0.206
GOcc_0,280,11,0.602,0.577,0.689,0.171
GOcc_0,290,11,0.602,0.576,0.692,0.17
GOcc_0,300,11,0.629,0.605,0.709,0.231
GOcc_0,310,11,0.618,0.59,0.708,0.206
GOcc_0,320,11,0.597,0.571,0.686,0.158
GOcc_0,330,12,0.618,0.592,0.705,0.206
GOcc_0,340,12,0.613,0.588,0.697,0.195
GOcc_0,350,12,0.618,0.593,0.703,0.207
GOcc_0,360,13,0.624,0.599,0.706,0.219
GOcc_0,370,13,0.651,0.623,0.733,0.281
GOcc_0,380,14,0.64,0.612,0.724,0.256
GOcc_0,390,14,0.661,0.635,0.739,0.305
GOcc_0,400,15,0.64,0.613,0.722,0.256
GOcc_0,410,16,0.634,0.611,0.712,0.243
GOcc_0,420,16,0.629,0.606,0.706,0.231
GOcc_0,430,16,0.634,0.611,0.712,0.243
GOcc_0,440,16,0.661,0.64,0.73,0.302
GOcc_0,450,16,0.651,0.627,0.726,0.279
GOcc_0,460,16,0.608,0.587,0.684,0.186
GOcc_0,470,17,0.602,0.582,0.678,0.175
GOcc_0,480,18,0.656,0.63,0.733,0.292
GOcc_0,490,18,0.629,0.605,0.709,0.231
GOcc_0,500,21,0.629,0.608,0.704,0.232
GObp_30,10,0,0.586,0.549,0.7,0.126
GObp_30,20,0,0.57,0.547,0.658,0.102
GObp_30,30,1,0.565,0.544,0.649,0.093
GObp_30,40,1,0.597,0.572,0.684,0.159
GObp_30,50,1,0.597,0.568,0.691,0.156
GObp_30,60,1,0.597,0.565,0.699,0.155
GObp_30,70,1,0.565,0.531,0.677,0.075
GObp_30,80,1,0.602,0.572,0.699,0.168
GObp_30,90,2,0.608,0.574,0.709,0.181
GObp_30,100,3,0.586,0.556,0.686,0.131
GObp_30,110,3,0.586,0.56,0.678,0.134
GObp_30,120,4,0.565,0.537,0.664,0.084
GObp_30,130,4,0.554,0.525,0.658,0.057
GObp_30,140,5,0.57,0.543,0.667,0.097
GObp_30,150,6,0.581,0.555,0.672,0.122
GObp_30,160,6,0.548,0.525,0.641,0.055
GObp_30,170,7,0.565,0.538,0.661,0.085
GObp_30,180,7,0.559,0.534,0.655,0.074
GObp_30,190,9,0.559,0.535,0.653,0.076
GObp_30,200,9,0.543,0.519,0.638,0.042
GObp_30,210,9,0.624,0.602,0.701,0.22
GObp_30,220,9,0.618,0.592,0.705,0.206
GObp_30,230,9,0.667,0.643,0.739,0.315
GObp_30,240,9,0.538,0.513,0.636,0.028
GObp_30,250,10,0.608,0.579,0.7,0.181
GObp_30,260,10,0.634,0.609,0.717,0.243
GObp_30,270,10,0.624,0.598,0.708,0.219
GObp_30,280,10,0.634,0.61,0.714,0.243
GObp_30,290,10,0.64,0.62,0.71,0.256
GObp_30,300,10,0.618,0.592,0.705,0.206
GObp_30,310,10,0.618,0.593,0.703,0.207
GObp_30,320,11,0.613,0.585,0.702,0.194
GObp_30,330,11,0.613,0.588,0.697,0.195
GObp_30,340,12,0.618,0.593,0.703,0.207
GObp_30,350,12,0.645,0.619,0.725,0.268
GObp_30,360,12,0.645,0.619,0.725,0.268
GObp_30,370,13,0.634,0.609,0.717,0.243
GObp_30,380,14,0.651,0.627,0.726,0.279
GObp_30,390,14,0.645,0.621,0.723,0.267
GObp_30,400,15,0.64,0.619,0.712,0.255
GObp_30,410,15,0.597,0.571,0.686,0.158
GObp_30,420,16,0.602,0.578,0.686,0.172
GObp_30,430,16,0.624,0.602,0.701,0.22
GObp_30,440,18,0.64,0.617,0.715,0.255
GObp_30,450,18,0.634,0.612,0.709,0.243
GObp_30,460,18,0.624,0.6,0.703,0.219
GObp_30,470,19,0.634,0.611,0.712,0.243
GObp_30,480,19,0.591,0.574,0.664,0.155
GObp_30,490,20,0.586,0.567,0.664,0.141
GObp_30,500,21,0.57,0.551,0.649,0.107
PPI_40,10,0,0.548,0.507,0.679,0.02
PPI_40,20,1,0.527,0.509,0.611,0.018
PPI_40,30,1,0.554,0.525,0.658,0.057
PPI_40,40,1,0.575,0.545,0.678,0.105
PPI_40,50,1,0.527,0.496,0.642,-0.01
PPI_40,60,1,0.543,0.509,0.661,0.021
PPI_40,70,1,0.559,0.525,0.675,0.06
PPI_40,80,2,0.597,0.567,0.694,0.156
PPI_40,90,3,0.591,0.562,0.689,0.144
PPI_40,100,4,0.597,0.568,0.691,0.156
PPI_40,110,4,0.597,0.57,0.689,0.157
PPI_40,120,4,0.602,0.576,0.692,0.17
PPI_40,130,5,0.565,0.538,0.661,0.085
PPI_40,140,5,0.586,0.561,0.675,0.135
PPI_40,150,6,0.575,0.551,0.667,0.111
PPI_40,160,7,0.581,0.555,0.672,0.122
PPI_40,170,7,0.575,0.551,0.667,0.111
PPI_40,180,9,0.554,0.53,0.647,0.065
PPI_40,190,9,0.667,0.641,0.742,0.316
PPI_40,200,9,0.656,0.634,0.726,0.291
PPI_40,210,9,0.661,0.636,0.736,0.304
PPI_40,220,9,0.613,0.587,0.7,0.194
PPI_40,230,9,0.608,0.583,0.692,0.183
PPI_40,240,9,0.559,0.531,0.661,0.07
PPI_40,250,9,0.575,0.548,0.672,0.108
PPI_40,260,10,0.548,0.521,0.65,0.048
PPI_40,270,10,0.618,0.59,0.708,0.206
PPI_40,280,11,0.602,0.577,0.689,0.171
PPI_40,290,11,0.602,0.576,0.692,0.17
PPI_40,300,11,0.629,0.605,0.709,0.231
PPI_40,310,11,0.618,0.59,0.708,0.206
PPI_40,320,11,0.597,0.571,0.686,0.158
PPI_40,330,12,0.618,0.592,0.705,0.206
PPI_40,340,12,0.613,0.588,0.697,0.195
PPI_40,350,12,0.618,0.593,0.703,0.207
PPI_40,360,13,0.624,0.599,0.706,0.219
PPI_40,370,13,0.651,0.623,0.733,0.281
PPI_40,380,14,0.64,0.612,0.724,0.256
PPI_40,390,14,0.661,0.635,0.739,0.305
PPI_40,400,15,0.64,0.613,0.722,0.256
PPI_40,410,16,0.634,0.611,0.712,0.243
PPI_40,420,16,0.629,0.606,0.706,0.231
PPI_40,430,16,0.634,0.611,0.712,0.243
PPI_40,440,16,0.661,0.64,0.73,0.302
PPI_40,450,16,0.651,0.627,0.726,0.279
PPI_40,460,16,0.608,0.587,0.684,0.186
PPI_40,470,17,0.602,0.582,0.678,0.175
PPI_40,480,18,0.656,0.63,0.733,0.292
PPI_40,490,18,0.629,0.605,0.709,0.231
PPI_40,500,21,0.629,0.608,0.704,0.232
GOcc_85,10,0,0.505,0.494,0.57,-0.011
GOcc_85,20,0,0.543,0.527,0.619,0.056
GOcc_85,30,0,0.591,0.555,0.703,0.14
GOcc_85,40,0,0.581,0.549,0.685,0.116
GOcc_85,50,0,0.597,0.565,0.699,0.155
GOcc_85,60,1,0.591,0.562,0.689,0.144
GOcc_85,70,1,0.591,0.566,0.681,0.147
GOcc_85,80,1,0.597,0.57,0.689,0.157
GOcc_85,90,1,0.597,0.568,0.691,0.156
GOcc_85,100,1,0.629,0.597,0.723,0.233
GOcc_85,110,1,0.634,0.602,0.728,0.247
GOcc_85,120,2,0.586,0.555,0.688,0.13
GOcc_85,130,3,0.591,0.564,0.686,0.144
GOcc_85,140,3,0.656,0.63,0.733,0.292
GOcc_85,150,4,0.64,0.612,0.724,0.256
GOcc_85,160,4,0.651,0.624,0.73,0.28
GOcc_85,170,5,0.624,0.596,0.711,0.219
GOcc_85,180,5,0.634,0.606,0.721,0.244
GOcc_85,190,5,0.64,0.613,0.722,0.256
GOcc_85,200,5,0.634,0.607,0.719,0.243
GOcc_85,210,6,0.618,0.588,0.713,0.207
GOcc_85,220,6,0.613,0.583,0.707,0.194
GOcc_85,230,7,0.591,0.562,0.689,0.144
GOcc_85,240,7,0.597,0.567,0.694,0.156
GOcc_85,250,9,0.597,0.571,0.686,0.158
GOcc_85,260,11,0.581,0.555,0.672,0.122
GOcc_85,270,11,0.586,0.563,0.672,0.137
GOcc_85,280,11,0.575,0.553,0.661,0.114
GOcc_85,290,12,0.591,0.573,0.667,0.153
GOcc_85,300,12,0.586,0.565,0.667,0.139
GOcc_85,310,13,0.597,0.574,0.681,0.16
GOcc_85,320,14,0.565,0.542,0.652,0.091
GOcc_85,330,16,0.57,0.547,0.658,0.102
GOcc_85,340,17,0.565,0.544,0.649,0.093
GOcc_85,350,17,0.57,0.547,0.658,0.102
GOcc_85,360,19,0.586,0.563,0.672,0.137
GOcc_85,370,21,0.575,0.554,0.658,0.116
GOcc_85,380,21,0.586,0.564,0.67,0.138
GOcc_85,390,21,0.602,0.584,0.675,0.176
GOcc_85,400,21,0.565,0.541,0.655,0.089
GOcc_85,410,22,0.586,0.565,0.667,0.139
GOcc_85,420,22,0.591,0.571,0.67,0.152
GOcc_85,430,23,0.602,0.58,0.684,0.173
GOcc_85,440,23,0.591,0.571,0.67,0.152
GOcc_85,450,24,0.586,0.567,0.664,0.141
GOcc_85,460,24,0.581,0.563,0.655,0.132
GOcc_85,470,24,0.575,0.556,0.655,0.118
GOcc_85,480,25,0.559,0.541,0.637,0.086
GOcc_85,490,26,0.57,0.553,0.643,0.111
GOcc_85,500,27,0.581,0.562,0.658,0.13
joint_interaction_80,10,0,0.559,0.5,0.717,0.0
joint_interaction_80,20,1,0.554,0.527,0.653,0.061
joint_interaction_80,30,1,0.629,0.609,0.701,0.232
joint_interaction_80,40,1,0.559,0.531,0.661,0.07
joint_interaction_80,50,1,0.554,0.522,0.664,0.052
joint_interaction_80,60,1,0.575,0.54,0.688,0.1
joint_interaction_80,70,1,0.57,0.534,0.685,0.086
joint_interaction_80,80,2,0.575,0.542,0.685,0.101
joint_interaction_80,90,3,0.57,0.539,0.675,0.092
joint_interaction_80,100,3,0.591,0.565,0.683,0.145
joint_interaction_80,110,3,0.591,0.562,0.689,0.144
joint_interaction_80,120,4,0.554,0.526,0.656,0.059
joint_interaction_80,130,5,0.57,0.544,0.664,0.098
joint_interaction_80,140,5,0.575,0.551,0.667,0.111
joint_interaction_80,150,5,0.581,0.553,0.678,0.12
joint_interaction_80,160,7,0.581,0.554,0.675,0.121
joint_interaction_80,170,8,0.548,0.527,0.638,0.057
joint_interaction_80,180,8,0.527,0.502,0.627,0.005
joint_interaction_80,190,8,0.538,0.512,0.639,0.026
joint_interaction_80,200,8,0.597,0.575,0.678,0.161
joint_interaction_80,210,8,0.516,0.49,0.622,-0.022
joint_interaction_80,220,8,0.516,0.49,0.622,-0.022
joint_interaction_80,230,8,0.538,0.508,0.648,0.018
joint_interaction_80,240,9,0.538,0.508,0.648,0.018
joint_interaction_80,250,10,0.565,0.537,0.664,0.084
joint_interaction_80,260,11,0.575,0.545,0.678,0.105
joint_interaction_80,270,11,0.634,0.603,0.726,0.246
joint_interaction_80,280,11,0.629,0.6,0.718,0.232
joint_interaction_80,290,11,0.624,0.595,0.713,0.219
joint_interaction_80,300,11,0.618,0.59,0.708,0.206
joint_interaction_80,310,11,0.624,0.596,0.711,0.219
joint_interaction_80,320,11,0.618,0.592,0.705,0.206
joint_interaction_80,330,11,0.629,0.6,0.718,0.232
joint_interaction_80,340,12,0.634,0.609,0.717,0.243
joint_interaction_80,350,13,0.618,0.59,0.708,0.206
joint_interaction_80,360,14,0.559,0.532,0.658,0.072
joint_interaction_80,370,14,0.57,0.543,0.667,0.097
joint_interaction_80,380,14,0.586,0.558,0.683,0.132
joint_interaction_80,390,14,0.581,0.551,0.68,0.118
joint_interaction_80,400,14,0.586,0.56,0.678,0.134
joint_interaction_80,410,14,0.575,0.549,0.669,0.11
joint_interaction_80,420,14,0.624,0.6,0.703,0.219
joint_interaction_80,430,14,0.634,0.61,0.714,0.243
joint_interaction_80,440,14,0.629,0.605,0.709,0.231
joint_interaction_80,450,15,0.608,0.586,0.687,0.185
