GRPEL2	grpel2
PLRG1	plrg1
SGSM1	sgsm1
SLC36A2	slc36a2
KRIT1	krit1
LRRC27	lrrc27
NRDC	nrdc
TRPC7	trpc7
VPS35L	vps35l
GADL1	gadl1
TRABD2B	trabd2b
KRTAP5-10	krtap5_10
HLX	hlx
QRSL1	qrsl1
FCER1G	fcer1g
AKR1B10	akr1b10
BTG3	btg3
BTG2	btg2
AKR1B15	akr1b15
FAHD1	fahd1
ZNF592	znf592
SLA2	sla2
C4orf36	c4orf36
METAP1	metap1
C4orf33	c4orf33
ZNF227	znf227
SRD5A3	srd5a3
SRD5A2	srd5a2
SRD5A1	srd5a1
ARMT1	armt1
HELLS	hells
AKAP17A	akap17a
FAM49A	fam49a
SYNRG	synrg
FAM49B	fam49b
PDILT	pdilt
SLC6A20	slc6a20
ZFP36L2	zfp36l2
GGA1	gga1
C10orf99	c10orf99
GGA3	gga3
GGA2	gga2
C15orf48	c15orf48
ZNF510	znf510
C10orf90	c10orf90
C15orf40	c15orf40
C15orf41	c15orf41
FHOD1	fhod1
FHOD3	fhod3
ADH7	adh7
ADH6	adh6
ADH5	adh5
ADH4	adh4
PKD2	pkd2
PKD1	pkd1
TMLHE	tmlhe
GJC2	gjc2
C4orf3	c4orf3
TEDC1	tedc1
GJC1	gjc1
ZNF138	znf138
PRKACG	prkacg
SPRYD3	spryd3
PRKACA	prkaca
NUAK2	nuak2
PRKACB	prkacb
PSMB7	psmb7
PSMB6	psmb6
PSMB5	psmb5
C14orf119	c14orf119
PSMB3	psmb3
PSMB2	psmb2
PSMB1	psmb1
SERPINA2	serpina2
HDHD5	hdhd5
TNFSF10	tnfsf10
LMBR1L	lmbr1l
TMA7	tma7
HDHD3	hdhd3
HDHD2	hdhd2
KLHDC9	klhdc9
ZNF516	znf516
TDGF1	tdgf1
KLK1	klk1
OMA1	oma1
RAPSN	rapsn
RMI1	rmi1
CORO6	coro6
CORO7	coro7
CIART	ciart
UPK1A	upk1a
SUN5	sun5
KCNK9	kcnk9
KCNK4	kcnk4
KCNK5	kcnk5
KCNK6	kcnk6
KCNK7	kcnk7
FAM155B	fam155b
CRY1	cry1
CRY2	cry2
FAM155A	fam155a
RETSAT	retsat
ZNF517	znf517
SULT2A1	sult2a1
TRIML2	triml2
GLTP	gltp
NACC2	nacc2
ACOT11	acot11
ACOT12	acot12
ACOT13	acot13
VPS13A	vps13a
SH3KBP1	sh3kbp1
VPS13C	vps13c
VPS13B	vps13b
BEX5	bex5
BEX4	bex4
BEX3	bex3
BEX2	bex2
BEX1	bex1
SCAF11	scaf11
NUP160	nup160
SMIM12	smim12
UBAP1	ubap1
N4BP3	n4bp3
CRYM	crym
TMEM163	tmem163
TMEM165	tmem165
TMEM164	tmem164
EVI2A	evi2a
TMEM168	tmem168
EVI2B	evi2b
FOXN1	foxn1
FOXN2	foxn2
FOXN3	foxn3
OR5AL1	or5al1
NICN1	nicn1
XYLB	xylb
COL14A1	col14a1
PLBD2	plbd2
ZNF799	znf799
GRIN2B	grin2b
GRIN2C	grin2c
GNA14	gna14
GNA15	gna15
GNA12	gna12
GNA13	gna13
GRIN2D	grin2d
GNA11	gna11
NOL9	nol9
THSD8	thsd8
PRKAR1A	prkar1a
IFFO1	iffo1
ZFP64	zfp64
IFFO2	iffo2
PRKAR1B	prkar1b
MFGE8	mfge8
SMIM10	smim10
SH2B1	sh2b1
KLK5	klk5
IL6ST	il6st
FRRS1L	frrs1l
SBF2	sbf2
OR51H1	or51h1
SAR1A	sar1a
DBN1	dbn1
SAR1B	sar1b
TPPP	tppp
ADD2	add2
OGDH	ogdh
ADD1	add1
CDC73	cdc73
WWP1	wwp1
R3HDM1	r3hdm1
OLIG3	olig3
SEMG1	semg1
UPP1	upp1
SEMG2	semg2
LMBRD2	lmbrd2
LMBRD1	lmbrd1
DAZL	dazl
DAZ3	daz3
DAZ2	daz2
DAZ1	daz1
TAS2R19	tas2r19
WNT7A	wnt7a
DAZ4	daz4
